aload_0,120
dup,79
getstatic,71
invokevirtual,60
getfield,59
iload,47
bipush,44
invokespecial,40
istore,33
iconst_0,31
invokestatic,29
aload,27
goto,25
putfield,25
iload_2,24
return,24
bastore,23
astore,21
i2b,21
ldc2_w,19
dastore,19
iinc,19
ldc,18
aload_1,18
iconst_1,17
iload_1,17
ifnonnull,17
ireturn,16
new,16
if_icmpge,15
checkcast,15
areturn,14
putstatic,14
isub,12
imul,12
arraylength,12
iload_3,11
iadd,9
irem,9
aload_3,8
aaload,8
newarray,7
nop,6
istore_3,6
astore_3,6
athrow,6
aconst_null,5
iconst_2,5
iconst_3,5
istore_1,5
istore_2,5
iconst_4,4
sipush,4
faload,4
astore_2,4
idiv,4
ifle,4
iconst_5,3
aload_2,3
fstore,3
astore_1,3
fastore,3
fload,2
dload,2
baload,2
dstore,2
i2f,2
fcmpg,2
ifeq,2
ifge,2
fconst_0,1
fconst_1,1
fconst_2,1
dconst_0,1
daload,1
astore_0,1
aastore,1
dadd,1
fmul,1
fdiv,1
d2f,1
ifne,1
if_icmple,1
freturn,1
anewarray,1
