name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s)
binarytreesjava,java,1,21,985,10.929,1361464,0,78% 84% 81% 80%,3.395
binarytreesjava,java,1,21,985,10.990,1446556,0,82% 81% 78% 93%,3.693
binarytreesjava,java,1,21,985,11.228,1418236,0,88% 87% 80% 76%,3.442
binarytreesjava,java,1,21,985,10.800,1296188,0,77% 90% 80% 80%,3.312
binarytreesjava,java,1,21,985,11.448,1489152,0,78% 79% 84% 91%,3.462
binarytreesjava,java,1,21,985,11.121,1416972,0,81% 79% 90% 80%,3.385
binarytreesjava,java,1,21,985,11.496,1425756,0,82% 77% 85% 86%,3.505
binarytreesjava,java,1,21,985,11.157,1398396,0,83% 83% 84% 81%,3.390
binarytreesjava,java,1,21,985,11.389,1426604,0,82% 95% 79% 77%,3.454
binarytreesjava,java,1,21,985,11.175,1380688,0,77% 82% 81% 88%,3.423
binarytreesjava,java,1,21,985,11.341,1496012,0,90% 83% 83% 75%,3.445
binarytreesjava,java,1,21,985,11.448,1521936,0,81% 86% 84% 82%,3.450
binarytreesjava,java,1,21,985,10.942,1224188,0,80% 82% 89% 77%,3.353
binarytreesjava,java,1,21,985,11.343,1497084,0,79% 83% 91% 80%,3.413
binarytreesjava,java,1,21,985,11.607,1454168,0,84% 92% 76% 78%,3.543
binarytreesjava,java,1,21,985,12.343,1445888,0,92% 76% 78% 72%,3.894
binarytreesjava,java,1,21,985,12.735,1304792,0,81% 77% 92% 77%,3.913
binarytreesjava,java,1,21,985,11.398,1488320,0,81% 89% 77% 80%,3.491
binarytreesjava,java,1,21,985,11.364,1235092,0,78% 80% 91% 75%,3.524
binarytreesjava,java,1,21,985,11.431,1374320,0,75% 77% 86% 86%,3.545
binarytreesjava,java,1,21,985,11.029,1209780,0,87% 78% 87% 80%,3.339
binarytreesjava,java,1,21,985,11.998,1469044,0,80% 91% 82% 81%,3.626
binarytreesjava,java,1,21,985,11.184,1367576,0,80% 76% 84% 86%,3.439
binarytreesjava,java,1,21,985,11.639,1468400,0,79% 77% 92% 85%,3.508
binarytreesjava,java,1,21,985,10.895,1262348,0,76% 78% 88% 84%,3.364
binarytreesjava,java,1,21,985,11.694,1427088,0,78% 89% 84% 79%,3.557
binarytreesjava,java,1,21,985,11.419,1303700,0,74% 86% 89% 78%,3.516
binarytreesjava,java,1,21,985,11.469,1412360,0,79% 81% 95% 78%,3.449
binarytreesjava,java,1,21,985,11.928,1423288,0,80% 94% 82% 74%,3.621
binarytreesjava,java,1,21,985,11.139,1264684,0,80% 82% 84% 79%,3.445
binarytreesjava,java,1,21,985,11.256,1340684,0,76% 77% 87% 81%,3.521
