name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s)
fannkuchreduxjava,java,1,12,1393,53.650,32864,0,99% 99% 98% 99%,13.609
fannkuchreduxjava,java,1,12,1393,53.574,32492,0,99% 98% 99% 98%,13.602
fannkuchreduxjava,java,1,12,1393,53.838,32956,0,99% 99% 98% 98%,13.686
fannkuchreduxjava,java,1,12,1393,55.741,32944,0,99% 98% 98% 99%,14.131
fannkuchreduxjava,java,1,12,1393,53.409,32856,0,99% 99% 98% 99%,13.548
fannkuchreduxjava,java,1,12,1393,51.740,33128,0,99% 99% 98% 99%,13.124
fannkuchreduxjava,java,1,12,1393,54.517,32896,0,99% 98% 98% 99%,13.824
fannkuchreduxjava,java,1,12,1393,53.680,32840,0,99% 99% 98% 98%,13.643
fannkuchreduxjava,java,1,12,1393,53.985,33024,0,98% 99% 99% 98%,13.676
fannkuchreduxjava,java,1,12,1393,53.899,32944,0,99% 99% 98% 99%,13.683
fannkuchreduxjava,java,1,12,1393,54.019,32916,0,98% 98% 99% 99%,13.705
fannkuchreduxjava,java,1,12,1393,53.808,32760,0,99% 99% 98% 98%,13.658
fannkuchreduxjava,java,1,12,1393,54.014,32740,0,98% 98% 99% 99%,13.710
fannkuchreduxjava,java,1,12,1393,53.797,33180,0,98% 99% 99% 98%,13.645
fannkuchreduxjava,java,1,12,1393,53.909,32976,0,99% 99% 98% 98%,13.688
fannkuchreduxjava,java,1,12,1393,53.735,32780,0,99% 99% 98% 98%,13.657
fannkuchreduxjava,java,1,12,1393,53.803,33140,0,97% 100% 99% 98%,13.661
fannkuchreduxjava,java,1,12,1393,53.780,32912,0,99% 98% 98% 99%,13.636
fannkuchreduxjava,java,1,12,1393,53.930,33000,0,99% 98% 98% 99%,13.700
fannkuchreduxjava,java,1,12,1393,53.844,32696,0,98% 98% 99% 99%,13.665
fannkuchreduxjava,java,1,12,1393,53.948,32772,0,99% 98% 98% 99%,13.709
fannkuchreduxjava,java,1,12,1393,53.946,32932,0,99% 99% 99% 98%,13.674
fannkuchreduxjava,java,1,12,1393,53.917,32892,0,99% 99% 99% 98%,13.682
fannkuchreduxjava,java,1,12,1393,53.924,32692,0,99% 98% 97% 99%,13.713
fannkuchreduxjava,java,1,12,1393,53.393,32696,0,99% 99% 98% 98%,13.566
fannkuchreduxjava,java,1,12,1393,53.762,32892,0,99% 99% 98% 98%,13.665
fannkuchreduxjava,java,1,12,1393,53.702,32980,0,98% 98% 99% 99%,13.606
fannkuchreduxjava,java,1,12,1393,53.818,32968,0,98% 98% 99% 99%,13.651
fannkuchreduxjava,java,1,12,1393,53.847,32852,0,99% 99% 98% 98%,13.683
fannkuchreduxjava,java,1,12,1393,53.875,33012,0,99% 99% 99% 98%,13.679
fannkuchreduxjava,java,1,12,1393,54.156,33012,0,99% 98% 98% 99%,13.764
fannkuchreduxjava,java,1,12,1393,54.033,32996,0,98% 98% 99% 99%,13.693
fannkuchreduxjava,java,1,12,1393,53.709,32904,0,98% 99% 99% 99%,13.632
fannkuchreduxjava,java,1,12,1393,53.667,32964,0,99% 99% 98% 98%,13.647
fannkuchreduxjava,java,1,12,1393,54.073,32992,0,98% 99% 99% 99%,13.708
fannkuchreduxjava,java,1,12,1393,53.833,32848,0,98% 99% 99% 99%,13.653
fannkuchreduxjava,java,1,12,1393,53.980,33028,0,99% 98% 98% 99%,13.704
fannkuchreduxjava,java,1,12,1393,53.703,33068,0,98% 98% 99% 99%,13.663
fannkuchreduxjava,java,1,12,1393,54.072,32884,0,99% 99% 98% 98%,13.732
fannkuchreduxjava,java,1,12,1393,53.666,32956,0,98% 99% 98% 98%,13.642
