name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s)
fastajava,java,1,25000000,2582,4.729,43032,0,88% 78% 87% 76%,1.438
fastajava,java,1,25000000,2582,4.518,43360,0,86% 84% 89% 86%,1.314
fastajava,java,1,25000000,2582,4.786,43372,0,93% 88% 87% 85%,1.356
fastajava,java,1,25000000,2582,4.556,41240,0,86% 91% 82% 85%,1.325
fastajava,java,1,25000000,2582,4.768,41244,0,91% 88% 85% 92%,1.352
fastajava,java,1,25000000,2582,4.554,40728,0,86% 84% 84% 90%,1.327
fastajava,java,1,25000000,2582,4.736,41012,0,93% 83% 89% 88%,1.346
fastajava,java,1,25000000,2582,4.718,40896,0,85% 95% 83% 88%,1.345
fastajava,java,1,25000000,2582,4.722,43108,0,92% 82% 88% 90%,1.346
fastajava,java,1,25000000,2582,4.769,41044,0,92% 86% 88% 87%,1.357
fastajava,java,1,25000000,2582,4.687,43304,0,86% 88% 93% 85%,1.340
fastajava,java,1,25000000,2582,4.728,40912,0,83% 89% 92% 89%,1.345
fastajava,java,1,25000000,2582,4.785,43244,0,88% 89% 89% 86%,1.361
fastajava,java,1,25000000,2582,4.543,40712,0,86% 84% 92% 82%,1.318
fastajava,java,1,25000000,2582,4.816,41964,0,90% 90% 95% 84%,1.347
fastajava,java,1,25000000,2582,4.806,40724,0,82% 93% 91% 88%,1.363
fastajava,java,1,25000000,2582,4.774,41236,0,88% 90% 87% 90%,1.354
fastajava,java,1,25000000,2582,4.799,43264,0,90% 86% 96% 85%,1.349
fastajava,java,1,25000000,2582,4.702,40808,0,88% 89% 90% 84%,1.338
fastajava,java,1,25000000,2582,4.503,43400,0,84% 85% 92% 86%,1.301
fastajava,java,1,25000000,2582,4.793,43208,0,86% 90% 85% 90%,1.366
fastajava,java,1,25000000,2582,4.687,40704,0,85% 90% 92% 86%,1.338
fastajava,java,1,25000000,2582,4.753,40856,0,86% 86% 86% 92%,1.357
fastajava,java,1,25000000,2582,4.744,43400,0,83% 83% 87% 73%,1.516
fastajava,java,1,25000000,2582,4.588,41056,0,88% 83% 87% 87%,1.335
fastajava,java,1,25000000,2582,4.763,43244,0,91% 86% 86% 92%,1.348
fastajava,java,1,25000000,2582,4.740,40864,0,93% 84% 89% 86%,1.353
fastajava,java,1,25000000,2582,4.763,43152,0,92% 85% 87% 88%,1.356
fastajava,java,1,25000000,2582,4.771,40948,0,85% 86% 87% 92%,1.365
fastajava,java,1,25000000,2582,4.604,40608,0,89% 83% 88% 88%,1.330
fastajava,java,1,25000000,2582,4.831,40988,0,91% 83% 93% 90%,1.358
fastajava,java,1,25000000,2582,4.749,41000,0,93% 87% 84% 91%,1.347
fastajava,java,1,25000000,2582,4.777,43324,0,89% 88% 93% 85%,1.350
fastajava,java,1,25000000,2582,4.845,40708,0,90% 89% 85% 89%,1.376
fastajava,java,1,25000000,2582,4.753,43188,0,85% 93% 88% 87%,1.357
fastajava,java,1,25000000,2582,4.792,41056,0,90% 88% 87% 88%,1.357
fastajava,java,1,25000000,2582,4.767,41000,0,83% 91% 83% 96%,1.355
