name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s)
mandelbrotjava,java,1,16000,1029,24.085,67348,0,97% 98% 99% 97%,6.146
mandelbrotjava,java,1,16000,1029,24.061,67480,0,99% 98% 98% 98%,6.137
mandelbrotjava,java,1,16000,1029,24.120,67444,0,97% 99% 98% 98%,6.163
mandelbrotjava,java,1,16000,1029,23.937,67824,0,98% 98% 99% 98%,6.116
mandelbrotjava,java,1,16000,1029,23.967,67848,0,97% 100% 97% 98%,6.131
mandelbrotjava,java,1,16000,1029,23.975,66776,0,97% 99% 99% 97%,6.119
mandelbrotjava,java,1,16000,1029,24.053,67440,0,97% 99% 98% 98%,6.143
mandelbrotjava,java,1,16000,1029,24.096,67244,0,98% 98% 98% 98%,6.152
mandelbrotjava,java,1,16000,1029,24.103,67440,0,97% 99% 98% 98%,6.155
mandelbrotjava,java,1,16000,1029,24.026,66956,0,98% 100% 97% 97%,6.129
mandelbrotjava,java,1,16000,1029,23.921,67852,0,99% 97% 98% 98%,6.111
mandelbrotjava,java,1,16000,1029,23.957,67908,0,97% 98% 99% 98%,6.120
mandelbrotjava,java,1,16000,1029,24.056,67636,0,99% 98% 97% 98%,6.133
mandelbrotjava,java,1,16000,1029,23.936,67656,0,98% 97% 98% 99%,6.120
mandelbrotjava,java,1,16000,1029,24.090,67332,0,97% 98% 97% 98%,6.166
mandelbrotjava,java,1,16000,1029,23.935,67848,0,99% 98% 97% 99%,6.111
mandelbrotjava,java,1,16000,1029,24.077,67200,0,99% 97% 97% 98%,6.146
mandelbrotjava,java,1,16000,1029,23.953,67592,0,98% 98% 99% 97%,6.117
mandelbrotjava,java,1,16000,1029,24.011,67324,0,98% 98% 97% 99%,6.131
mandelbrotjava,java,1,16000,1029,23.954,67960,0,99% 97% 98% 98%,6.119
mandelbrotjava,java,1,16000,1029,23.976,67876,0,98% 99% 98% 97%,6.124
mandelbrotjava,java,1,16000,1029,23.957,67404,0,98% 98% 98% 98%,6.115
mandelbrotjava,java,1,16000,1029,24.042,67556,0,97% 98% 98% 98%,6.152
mandelbrotjava,java,1,16000,1029,24.037,67220,0,98% 98% 97% 99%,6.134
mandelbrotjava,java,1,16000,1029,23.980,67396,0,99% 98% 97% 98%,6.124
mandelbrotjava,java,1,16000,1029,23.990,67640,0,98% 98% 98% 98%,6.127
mandelbrotjava,java,1,16000,1029,23.936,67644,0,98% 98% 98% 98%,6.105
mandelbrotjava,java,1,16000,1029,23.996,67844,0,97% 98% 97% 99%,6.132
mandelbrotjava,java,1,16000,1029,24.015,67924,0,98% 98% 98% 100%,6.127
