name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s)
nbodyjava,java,1,50000000,1644,6.631,33720,0,2% 1% 0% 100%,6.577
nbodyjava,java,1,50000000,1644,6.611,33544,0,100% 1% 0% 1%,6.564
nbodyjava,java,1,50000000,1644,6.624,33864,0,99% 0% 0% 1%,6.573
nbodyjava,java,1,50000000,1644,6.630,33380,0,100% 0% 1% 0%,6.576
nbodyjava,java,1,50000000,1644,6.626,33668,0,0% 1% 100% 0%,6.573
nbodyjava,java,1,50000000,1644,6.611,33728,0,0% 0% 100% 1%,6.564
nbodyjava,java,1,50000000,1644,6.625,33724,0,1% 99% 1% 1%,6.573
nbodyjava,java,1,50000000,1644,6.609,33616,0,0% 1% 100% 0%,6.563
nbodyjava,java,1,50000000,1644,6.613,33644,0,0% 0% 100% 1%,6.566
nbodyjava,java,1,50000000,1644,6.619,33692,0,100% 1% 0% 1%,6.573
nbodyjava,java,1,50000000,1644,6.613,33596,0,1% 100% 1% 0%,6.566
nbodyjava,java,1,50000000,1644,6.617,33856,0,100% 1% 0% 1%,6.568
nbodyjava,java,1,50000000,1644,6.609,33764,0,99% 1% 0% 1%,6.563
nbodyjava,java,1,50000000,1644,6.610,33576,0,100% 0% 0% 1%,6.564
nbodyjava,java,1,50000000,1644,6.610,33800,0,99% 0% 0% 1%,6.562
nbodyjava,java,1,50000000,1644,6.617,33900,0,100% 1% 0% 1%,6.567
nbodyjava,java,1,50000000,1644,6.627,33760,0,99% 1% 1% 0%,6.573
nbodyjava,java,1,50000000,1644,6.626,33284,0,100% 1% 1% 0%,6.571
nbodyjava,java,1,50000000,1644,6.641,33256,0,2% 53% 2% 47%,6.586
nbodyjava,java,1,50000000,1644,6.613,33896,0,100% 1% 0% 1%,6.568
nbodyjava,java,1,50000000,1644,6.629,33948,0,1% 1% 1% 99%,6.574
nbodyjava,java,1,50000000,1644,6.634,32912,0,0% 1% 99% 0%,6.580
nbodyjava,java,1,50000000,1644,6.625,33500,0,100% 1% 1% 1%,6.571
nbodyjava,java,1,50000000,1644,6.611,33760,0,99% 0% 0% 1%,6.566
nbodyjava,java,1,50000000,1644,6.632,33432,0,1% 1% 100% 0%,6.578
nbodyjava,java,1,50000000,1644,6.606,33804,0,99% 0% 0% 1%,6.560
nbodyjava,java,1,50000000,1644,6.628,33736,0,100% 1% 0% 0%,6.574
nbodyjava,java,1,50000000,1644,6.615,33768,0,99% 1% 0% 1%,6.568
nbodyjava,java,1,50000000,1644,6.614,33536,0,0% 0% 99% 1%,6.567
nbodyjava,java,1,50000000,1644,6.628,33632,0,1% 1% 0% 100%,6.574
