name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s)
spectralnormjava,java,1,5500,1230,11.305,34428,0,98% 95% 96% 96%,2.930
spectralnormjava,java,1,5500,1230,11.250,34424,0,95% 97% 97% 96%,2.934
spectralnormjava,java,1,5500,1230,11.291,34496,0,97% 96% 96% 98%,2.929
spectralnormjava,java,1,5500,1230,11.241,34772,0,98% 96% 96% 97%,2.910
spectralnormjava,java,1,5500,1230,11.263,34480,0,96% 97% 97% 97%,2.917
spectralnormjava,java,1,5500,1230,11.305,34464,0,96% 97% 97% 97%,2.928
spectralnormjava,java,1,5500,1230,11.297,34364,0,97% 96% 96% 99%,2.923
spectralnormjava,java,1,5500,1230,11.249,34644,0,96% 96% 96% 99%,2.919
spectralnormjava,java,1,5500,1230,11.284,34484,0,96% 96% 96% 99%,2.921
spectralnormjava,java,1,5500,1230,11.276,34268,0,96% 98% 97% 96%,2.922
spectralnormjava,java,1,5500,1230,11.289,34460,0,96% 99% 96% 97%,2.919
spectralnormjava,java,1,5500,1230,11.265,34300,0,97% 97% 96% 99%,2.916
spectralnormjava,java,1,5500,1230,11.269,34492,0,97% 96% 96% 98%,2.917
spectralnormjava,java,1,5500,1230,11.291,34360,0,98% 96% 96% 97%,2.923
spectralnormjava,java,1,5500,1230,11.299,34188,0,96% 97% 97% 97%,2.923
spectralnormjava,java,1,5500,1230,11.263,34484,0,95% 97% 98% 96%,2.918
spectralnormjava,java,1,5500,1230,11.259,34560,0,95% 97% 97% 96%,2.922
spectralnormjava,java,1,5500,1230,11.270,34320,0,96% 97% 98% 96%,2.919
spectralnormjava,java,1,5500,1230,11.243,34656,0,97% 97% 95% 96%,2.935
spectralnormjava,java,1,5500,1230,11.290,34584,0,96% 97% 97% 97%,2.929
spectralnormjava,java,1,5500,1230,11.259,34676,0,95% 98% 97% 96%,2.922
spectralnormjava,java,1,5500,1230,11.267,34576,0,98% 96% 96% 97%,2.933
spectralnormjava,java,1,5500,1230,11.260,34612,0,95% 99% 96% 96%,2.920
spectralnormjava,java,1,5500,1230,11.255,34420,0,97% 96% 97% 97%,2.915
spectralnormjava,java,1,5500,1230,11.284,34240,0,95% 97% 96% 99%,2.925
spectralnormjava,java,1,5500,1230,11.274,34556,0,98% 96% 96% 96%,2.922
spectralnormjava,java,1,5500,1230,11.262,34472,0,98% 96% 96% 97%,2.920
spectralnormjava,java,1,5500,1230,11.274,34732,0,98% 96% 95% 98%,2.919
spectralnormjava,java,1,5500,1230,11.278,34396,0,96% 99% 96% 96%,2.920
spectralnormjava,java,1,5500,1230,11.276,34748,0,96% 98% 95% 97%,2.924
spectralnormjava,java,1,5500,1230,11.274,34252,0,96% 97% 97% 96%,2.928
spectralnormjava,java,1,5500,1230,11.206,34404,0,97% 95% 96% 96%,2.924
spectralnormjava,java,1,5500,1230,11.264,34552,0,98% 96% 96% 97%,2.919
spectralnormjava,java,1,5500,1230,11.291,34396,0,95% 99% 96% 97%,2.921
