name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s)
binarytreesjava,java,1,21,985,10.215,1596912,0,81% 83% 73% 86%,3.175
binarytreesktconv,kt,1,21,823,10.870,1572552,0,76% 88% 86% 73%,3.368
binarytreesktidiom,kt,1,21,786,11.067,1564912,0,83% 83% 80% 80%,3.392
fannkuchreduxjava,java,1,12,1393,50.855,33600,0,99% 99% 98% 99%,12.910
fannkuchreduxktconv,kt,1,12,1379,51.455,34336,0,98% 99% 99% 98%,13.032
fannkuchreduxktidiom,kt,1,12,1300,50.205,37896,0,99% 99% 99% 99%,12.731
fastajava,java,1,25000000,2582,4.412,43772,0,86% 87% 82% 89%,1.284
fastaktconv,kt,1,25000000,2438,4.564,42652,0,86% 84% 87% 88%,1.322
fastaktidiom,kt,1,25000000,2435,4.522,44956,0,89% 83% 80% 87%,1.333
mandelbrotjava,java,1,16000,1029,23.888,68164,0,98% 98% 98% 98%,6.094
mandelbrotktconv,kt,1,16000,921,23.788,68256,0,98% 98% 99% 99%,6.049
mandelbrotktidiom,kt,1,16000,902,23.856,70080,0,99% 98% 98% 97%,6.085
nbodyjava,java,1,50000000,1644,6.606,34072,0,99% 0% 0% 1%,6.560
nbodyktconv,kt,1,50000000,1507,6.899,35072,0,1% 0% 1% 100%,6.845
nbodyktidiom,kt,1,50000000,1481,6.634,34920,0,1% 0% 1% 100%,6.580
spectralnormjava,java,1,5500,1230,11.238,34848,0,98% 96% 96% 97%,2.906
spectralnormktconv,kt,1,5500,1075,11.267,35468,0,98% 96% 95% 97%,2.918
spectralnormktidiom,kt,1,5500,1072,11.285,35456,0,98% 97% 96% 98%,2.918
